from	to	Correlation	p-Value
P::1-oleoylglycerophosphocholine	P::2-stearoylglycerophosphocholine*	0.052558712	2.38E-09
P::1-stearoylglycerophosphocholine	P::2-stearoylglycerophosphocholine*	0.113193626	2.22E-16
P::2-hydroxy-3-methylvalerate	P::3-(4-hydroxyphenyl)lactate	0.057217465	8.08E-11
P::1-docosahexaenoylglycerophosphocholine*	P::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	0.049421337	1.99E-08
P::2-hydroxybutyrate (AHB)	P::3-hydroxyisobutyrate	0.056190971	1.74E-10
P::3-hydroxydecanoate	P::3-hydroxyoctanoate	0.124066453	2.22E-16
P::3-methyl-2-oxobutyrate	P::3-methyl-2-oxovalerate	0.081163736	2.22E-16
P::1-methylxanthine	P::3-methylxanthine	0.094025905	2.22E-16
P::21-hydroxypregnenolone disulfate	P::4-androsten-3beta,17beta-diol disulfate 2*	0.067129861	2.40E-14
P::4-androsten-3beta,17beta-diol disulfate 1*	P::4-androsten-3beta,17beta-diol disulfate 2*	0.062612883	1.13E-12
P::3-hydroxyhippurate	P::4-hydroxyhippurate	0.060436339	6.63E-12
P::3-methyl-2-oxobutyrate	P::4-methyl-2-oxopentanoate	0.08317508	2.22E-16
P::3-methyl-2-oxovalerate	P::4-methyl-2-oxopentanoate	0.111109293	2.22E-16
P::4-androsten-3beta,17beta-diol disulfate 1*	P::5alpha-androstan-3beta,17beta-diol disulfate	0.061193371	3.61E-12
P::3-methylxanthine	P::7-methylxanthine	0.157900732	2.22E-16
P::3-phosphoglycerate	P::adenosine 5'-monophosphate (AMP)	0.093540005	2.22E-16
P::2-hydroxy-3-methylvalerate	P::alpha-hydroxyisocaproate	0.060800959	4.95E-12
P::2-hydroxy-3-methylvalerate	P::alpha-hydroxyisovalerate	0.11142642	2.22E-16
P::3-(4-hydroxyphenyl)lactate	P::alpha-hydroxyisovalerate	0.050595375	9.14E-09
P::2-hydroxybutyrate (AHB)	P::alpha-ketobutyrate	0.065459809	1.03E-13
P::3-hydroxyisobutyrate	P::alpha-ketobutyrate	0.056655503	1.23E-10
P::1-palmitoylglycerol (1-monopalmitin)	P::alpha-tocopherol	0.05011998	1.26E-08
P::21-hydroxypregnenolone disulfate	P::andro steroid monosulfate 2*	0.063957457	3.70E-13
P::4-androsten-3beta,17beta-diol disulfate 2*	P::andro steroid monosulfate 2*	0.078772808	2.22E-16
P::5alpha-androstan-3beta,17beta-diol disulfate	P::androsterone sulfate	0.074035101	2.22E-16
P::1-arachidonoylglycerophosphocholine*	P::arachidonate (20:4n6)	0.048893293	2.82E-08
P::adrenate (22:4n6)	P::arachidonate (20:4n6)	0.050270747	1.14E-08
P::2-ethylhexanoate	P::benzoate	0.061867569	2.09E-12
P::3-methylhistidine	P::beta-alanine	0.054016232	8.52E-10
P::1,3-dihydroxyacetone	P::beta-hydroxypyruvate	0.051942023	3.66E-09
P::bilirubin (E,E)*	P::bilirubin (Z,Z)	0.096234442	2.22E-16
P::bilirubin (E,E)*	P::biliverdin	0.075031319	2.22E-16
P::bilirubin (Z,Z)	P::biliverdin	0.06685124	3.06E-14
P::acetylcarnitine	P::butyrylcarnitine	0.057553445	6.26E-11
P::1,3,7-trimethylurate	P::caffeine	0.080968567	2.22E-16
P::1,7-dimethylurate	P::caffeine	0.05070866	8.47E-09
P::beta-sitosterol	P::campesterol	0.132816893	2.22E-16
P::caprate (10:0)	P::caprylate (8:0)	0.122987452	2.22E-16
P::caproate (6:0)	P::caprylate (8:0)	0.07887553	2.22E-16
P::acetylcarnitine	P::carnitine	0.101212188	2.22E-16
P::butyrylcarnitine	P::carnitine	0.056850913	1.06E-10
P::alpha-tocopherol	P::cholesterol	0.089727717	2.22E-16
P::betaine	P::choline	0.056376572	1.52E-10
P::3-hydroxyoctanoate	P::citrulline	-0.055428089	3.06E-10
P::arginine	P::citrulline	0.067367618	1.95E-14
P::cortisol	P::cortisone	0.121923523	2.22E-16
P::cis-4-decenoyl carnitine	P::decanoylcarnitine	0.064657225	2.04E-13
P::21-hydroxypregnenolone disulfate	P::dehydroisoandrosterone sulfate (DHEA-S)	0.052667122	2.21E-09
P::4-androsten-3beta,17beta-diol disulfate 1*	P::dehydroisoandrosterone sulfate (DHEA-S)	0.05317688	1.55E-09
P::4-androsten-3beta,17beta-diol disulfate 2*	P::dehydroisoandrosterone sulfate (DHEA-S)	0.051738415	4.20E-09
P::androsterone sulfate	P::dehydroisoandrosterone sulfate (DHEA-S)	0.050229632	1.17E-08
P::arachidonate (20:4n6)	P::dihomo-linolenate (20:3n3 or n6)	0.048400874	3.88E-08
P::asparagine	P::dihydroorotate	0.05357896	1.16E-09
P::choline	P::dimethylglycine	0.048260898	4.24E-08
P::1-docosahexaenoylglycerophosphocholine*	P::docosahexaenoate (DHA; 22:6n3)	0.05536111	3.22E-10
P::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	P::docosahexaenoate (DHA; 22:6n3)	0.055408628	3.11E-10
P::docosahexaenoate (DHA; 22:6n3)	P::docosapentaenoate (n3 DPA; 22:5n3)	0.054049676	8.31E-10
P::arachidonate (20:4n6)	P::docosapentaenoate (n6 DPA; 22:5n6)	0.062133539	1.68E-12
P::caprate (10:0)	P::dodecanedioate	0.073037857	2.22E-16
P::caprylate (8:0)	P::dodecanedioate	0.054904814	4.49E-10
P::2-docosapentaenoylglycerophosphocholine*	P::eicosapentaenoate (EPA; 20:5n3)	0.056802033	1.10E-10
P::docosahexaenoate (DHA; 22:6n3)	P::eicosapentaenoate (EPA; 20:5n3)	0.053214237	1.51E-09
P::docosapentaenoate (n3 DPA; 22:5n3)	P::eicosapentaenoate (EPA; 20:5n3)	0.069190795	3.77E-15
P::5alpha-androstan-3beta,17beta-diol disulfate	P::epiandrosterone sulfate	0.083132774	2.22E-16
P::androsterone sulfate	P::epiandrosterone sulfate	0.136482528	2.22E-16
P::dehydroisoandrosterone sulfate (DHEA-S)	P::epiandrosterone sulfate	0.048488835	3.66E-08
P::cysteine-glutathione disulfide	P::gamma-glutamylglutamine	0.108219975	2.22E-16
P::gamma-glutamylisoleucine*	P::gamma-glutamylleucine	0.060950516	4.39E-12
P::3-(4-hydroxyphenyl)lactate	P::gamma-glutamyltyrosine	0.049507152	1.89E-08
P::butyrylcarnitine	P::gamma-glutamylvaline	0.050048607	1.32E-08
P::gamma-glutamylisoleucine*	P::gamma-glutamylvaline	0.049102234	2.46E-08
P::gamma-glutamylleucine	P::gamma-glutamylvaline	0.06077992	5.04E-12
P::arabitol	P::gluconate	0.04994744	1.41E-08
P::beta-hydroxypyruvate	P::glucose	0.057524205	6.40E-11
P::gluconate	P::glucose	0.058104421	4.11E-11
P::alpha-ketoglutarate	P::glutamate	0.077632887	2.22E-16
P::gamma-glutamylglutamine	P::glutamine	0.077472908	2.22E-16
P::erythrulose	P::glycerate	0.054059236	8.26E-10
P::cholesterol	P::glycerol 3-phosphate (G3P)	0.048810712	2.97E-08
P::glycerol 2-phosphate	P::glycerol 3-phosphate (G3P)	0.105453949	2.22E-16
P::glycerol 2-phosphate	P::glycerophosphorylcholine (GPC)	0.06629874	4.97E-14
P::glycerol 3-phosphate (G3P)	P::glycerophosphorylcholine (GPC)	0.052879926	1.90E-09
P::alanine	P::glycine	0.071960322	4.44E-16
P::glycochenodeoxycholate	P::glycocholate	0.109266874	2.22E-16
P::glycochenodeoxycholate	P::glycodeoxycholate	0.091959863	2.22E-16
P::glycocholate	P::glycodeoxycholate	0.091926713	2.22E-16
P::EDTA	P::glycolate (hydroxyacetate)	0.064467881	2.40E-13
P::glycochenodeoxycholate	P::glycoursodeoxycholate	0.110600158	2.22E-16
P::glycocholate	P::glycoursodeoxycholate	0.058568854	2.87E-11
P::EDTA	P::heme	0.069233831	3.55E-15
P::caproate (6:0)	P::heptanoate (7:0)	0.090196325	2.22E-16
P::caprylate (8:0)	P::heptanoate (7:0)	0.077198603	2.22E-16
P::cis-4-decenoyl carnitine	P::hexanoylcarnitine	0.060738884	5.21E-12
P::decanoylcarnitine	P::hexanoylcarnitine	0.073923161	2.22E-16
P::5-oxoproline	P::histidine	0.100977574	2.22E-16
P::glutamine	P::histidine	0.053200253	1.52E-09
P::HWESASLLR	P::HWESASXX*	0.11251517	2.22E-16
P::EDTA	P::iminodiacetate (IDA)	0.075508878	2.22E-16
P::glycolate (hydroxyacetate)	P::iminodiacetate (IDA)	0.073076532	2.22E-16
P::3-(4-hydroxyphenyl)lactate	P::indolelactate	0.051013409	6.89E-09
P::2-methylbutyrylcarnitine (C5)	P::isobutyrylcarnitine	0.054449726	6.24E-10
P::3-methyl-2-oxovalerate	P::isoleucine	0.057642914	5.85E-11
P::gamma-glutamylleucine	P::isoleucine	0.064193387	3.03E-13
P::2-methylbutyrylcarnitine (C5)	P::isovalerylcarnitine	0.09336004	2.22E-16
P::isovalerate	P::isovalerylcarnitine	0.048793023	3.01E-08
P::adenosine 5'-monophosphate (AMP)	P::lactate	0.058506612	3.02E-11
P::cholesterol	P::lathosterol	0.055425834	3.07E-10
P::caprate (10:0)	P::laurate (12:0)	0.1002544	2.22E-16
P::caprylate (8:0)	P::laurate (12:0)	0.061768879	2.27E-12
P::dodecanedioate	P::laurate (12:0)	0.107512488	2.22E-16
P::decanoylcarnitine	P::laurylcarnitine	0.064081104	3.33E-13
P::gamma-glutamylleucine	P::leucine	0.072159329	2.22E-16
P::isoleucine	P::leucine	0.10140932	2.22E-16
P::dihomo-linoleate (20:2n6)	P::linoleate (18:2n6)	0.048932739	2.75E-08
P::linoleate (18:2n6)	P::linolenate [alpha or gamma; (18:3n3 or 6)]	0.058604874	2.79E-11
P::leucine	P::lysine	0.048857303	2.88E-08
P::citrate	P::malate	0.070939918	8.88E-16
P::erythritol	P::mannitol	0.058515301	2.99E-11
P::beta-hydroxypyruvate	P::mannose	0.052501199	2.48E-09
P::gluconate	P::mannose	0.049459785	1.95E-08
P::glucose	P::mannose	0.060769098	5.08E-12
P::15-methylpalmitate (isobar with 2-methylpalmitate)	P::margarate (17:0)	0.050544758	9.46E-09
P::asparagine	P::methionine	0.053577527	1.16E-09
P::isoleucine	P::methionine	0.05436733	6.62E-10
P::leucine	P::methionine	0.048295575	4.15E-08
P::lysine	P::methionine	0.051511152	4.91E-09
P::caprate (10:0)	P::myristate (14:0)	0.050757722	8.19E-09
P::laurate (12:0)	P::myristate (14:0)	0.069056212	4.22E-15
P::5-dodecenoate (12:1n7)	P::myristoleate (14:1n5)	0.074534673	2.22E-16
P::laurylcarnitine	P::myristoylcarnitine	0.063802257	4.21E-13
P::glycine	P::N-acetylglycine	0.048943933	2.73E-08
P::cysteine-glutathione disulfide	P::N-acetylmethionine	0.066194499	5.44E-14
P::N-acetylalanine	P::N-acetylmethionine	0.064319001	2.72E-13
P::N-acetylalanine	P::N-formylmethionine	0.050426047	1.02E-08
P::N-acetylmethionine	P::N-formylmethionine	0.052719685	2.13E-09
P::3-phosphoglycerate	P::nicotinamide	0.067151357	2.35E-14
P::adenosine 5'-monophosphate (AMP)	P::nicotinamide	0.064674111	2.02E-13
P::17-methylstearate	P::nonadecanoate (19:0)	0.073400419	2.22E-16
P::eicosenoate (20:1n9 or 11)	P::nonadecanoate (19:0)	0.053090207	1.64E-09
P::margarate (17:0)	P::nonadecanoate (19:0)	0.053125102	1.60E-09
P::hexadecanedioate	P::octadecanedioate	0.070795277	8.88E-16
P::cis-4-decenoyl carnitine	P::octanoylcarnitine	0.080223372	2.22E-16
P::decanoylcarnitine	P::octanoylcarnitine	0.114678388	2.22E-16
P::hexanoylcarnitine	P::octanoylcarnitine	0.087846263	2.22E-16
P::laurylcarnitine	P::octanoylcarnitine	0.048563679	3.49E-08
P::cis-vaccenate (18:1n7)	P::oleate (18:1n9)	0.055373004	3.19E-10
P::myristoylcarnitine	P::oleoylcarnitine	0.05691581	1.01E-10
P::cysteine	P::ornithine	0.048411377	3.85E-08
P::4-methylcatechol sulfate	P::p-cresol sulfate	0.06798555	1.11E-14
P::1,2-dipalmitoylglycerol	P::palmitate, methyl ester	0.061792999	2.22E-12
P::1-palmitoylglycerol (1-monopalmitin)	P::palmitate, methyl ester	0.053333077	1.38E-09
P::cholesterol	P::palmitate, methyl ester	0.052482325	2.51E-09
P::glycerol 3-phosphate (G3P)	P::palmitate, methyl ester	0.052130517	3.21E-09
P::10-heptadecenoate (17:1n7)	P::palmitoleate (16:1n7)	0.052602132	2.31E-09
P::myristoleate (14:1n5)	P::palmitoleate (16:1n7)	0.054160856	7.68E-10
P::alpha-tocopherol	P::palmitoyl sphingomyelin	0.064430713	2.48E-13
P::cholesterol	P::palmitoyl sphingomyelin	0.118077973	2.22E-16
P::glycerol 3-phosphate (G3P)	P::palmitoyl sphingomyelin	0.053672623	1.09E-09
P::laurylcarnitine	P::palmitoylcarnitine	0.049605161	1.77E-08
P::myristoylcarnitine	P::palmitoylcarnitine	0.076985593	2.22E-16
P::oleoylcarnitine	P::palmitoylcarnitine	0.087294353	2.22E-16
P::1,3,7-trimethylurate	P::paraxanthine	0.052847317	1.95E-09
P::1,7-dimethylurate	P::paraxanthine	0.061069131	3.99E-12
P::caffeine	P::paraxanthine	0.057130709	8.62E-11
P::caproate (6:0)	P::pelargonate (9:0)	0.069654781	2.44E-15
P::caprylate (8:0)	P::pelargonate (9:0)	0.074710665	2.22E-16
P::heptanoate (7:0)	P::pelargonate (9:0)	0.088543765	2.22E-16
P::p-cresol sulfate	P::phenylacetylglutamine	0.052923124	1.85E-09
P::gamma-glutamylphenylalanine	P::phenylalanine	0.100640367	2.22E-16
P::gamma-glutamyltyrosine	P::phenylalanine	0.059769822	1.12E-11
P::nonadecanoate (19:0)	P::phenylalanyltryptophan	0.050134225	1.24E-08
P::2-hydroxy-3-methylvalerate	P::phenyllactate (PLA)	0.073539664	2.22E-16
P::3-(4-hydroxyphenyl)lactate	P::phenyllactate (PLA)	0.0555638	2.77E-10
P::alpha-hydroxyisovalerate	P::phenyllactate (PLA)	0.052476222	2.52E-09
P::indolelactate	P::phenyllactate (PLA)	0.075456464	2.22E-16
P::21-hydroxypregnenolone disulfate	P::pregn steroid monosulfate*	0.067540567	1.67E-14
P::dehydroisoandrosterone sulfate (DHEA-S)	P::pregn steroid monosulfate*	0.051130162	6.37E-09
P::5alpha-pregnan-3beta,20alpha-diol disulfate	P::pregnanediol-3-glucuronide	0.089246086	2.22E-16
P::21-hydroxypregnenolone disulfate	P::pregnen-diol disulfate*	0.058210505	3.79E-11
P::4-androsten-3beta,17beta-diol disulfate 1*	P::pregnen-diol disulfate*	0.063208712	6.92E-13
P::4-androsten-3beta,17beta-diol disulfate 2*	P::pregnen-diol disulfate*	0.059237253	1.71E-11
P::pregn steroid monosulfate*	P::pregnen-diol disulfate*	0.066517133	4.11E-14
P::21-hydroxypregnenolone disulfate	P::pregnenolone sulfate	0.083226655	2.22E-16
P::pregn steroid monosulfate*	P::pregnenolone sulfate	0.095621509	2.22E-16
P::pregnen-diol disulfate*	P::pregnenolone sulfate	0.059014079	2.03E-11
P::acetylcarnitine	P::propionylcarnitine	0.062797095	9.74E-13
P::carnitine	P::propionylcarnitine	0.080186028	2.22E-16
P::isobutyrylcarnitine	P::propionylcarnitine	0.052657447	2.23E-09
P::N-acetylalanine	P::pseudouridine	0.051386376	5.35E-09
P::pantothenate	P::pyridoxate	0.060114488	8.56E-12
P::creatine	P::pyroglutamine*	-0.060750357	5.16E-12
P::ornithine	P::pyrophosphate (PPi)	0.049512191	1.88E-08
P::alpha-ketobutyrate	P::pyruvate	0.05930642	1.62E-11
P::lactate	P::pyruvate	0.066671485	3.60E-14
P::asparagine	P::serine	0.063975175	3.64E-13
P::glycine	P::serine	0.070464935	1.33E-15
P::methionine	P::serine	0.051517648	4.89E-09
P::3-phosphoglycerate	P::serotonin (5HT)	0.079350872	2.22E-16
P::adenosine 5'-monophosphate (AMP)	P::serotonin (5HT)	0.110815997	2.22E-16
P::cysteine-glutathione disulfide	P::serotonin (5HT)	0.059015536	2.03E-11
P::nicotinamide	P::serotonin (5HT)	0.092544597	2.22E-16
P::serotonin (5HT)	P::sphingosine	0.054811342	4.80E-10
P::erythrulose	P::stachydrine	0.049078089	2.50E-08
P::N-methyl proline	P::stachydrine	0.051327533	5.57E-09
P::17-methylstearate	P::stearate (18:0)	0.05138302	5.36E-09
P::eicosenoate (20:1n9 or 11)	P::stearate (18:0)	0.056590667	1.29E-10
P::margarate (17:0)	P::stearate (18:0)	0.053894551	9.29E-10
P::nonadecanoate (19:0)	P::stearate (18:0)	0.066726798	3.42E-14
P::docosapentaenoate (n3 DPA; 22:5n3)	P::stearidonate (18:4n3)	0.053132362	1.59E-09
P::eicosapentaenoate (EPA; 20:5n3)	P::stearidonate (18:4n3)	0.072702143	2.22E-16
P::cholesterol	P::stearoyl sphingomyelin	0.05169887	4.32E-09
P::palmitoyl sphingomyelin	P::stearoyl sphingomyelin	0.080210967	2.22E-16
P::myristoylcarnitine	P::stearoylcarnitine	0.05901288	2.04E-11
P::oleoylcarnitine	P::stearoylcarnitine	0.080437243	2.22E-16
P::palmitoylcarnitine	P::stearoylcarnitine	0.094797381	2.22E-16
P::glycochenodeoxycholate	P::taurochenodeoxycholate	0.098198379	2.22E-16
P::glycocholate	P::taurochenodeoxycholate	0.094113696	2.22E-16
P::glycodeoxycholate	P::taurochenodeoxycholate	0.05272737	2.12E-09
P::glycoursodeoxycholate	P::taurochenodeoxycholate	0.062458073	1.29E-12
P::glycochenodeoxycholate	P::taurocholate	0.061652255	2.49E-12
P::glycocholate	P::taurocholate	0.133154625	2.22E-16
P::glycodeoxycholate	P::taurocholate	0.058179237	3.88E-11
P::taurochenodeoxycholate	P::taurocholate	0.114236847	2.22E-16
P::glycocholenate sulfate*	P::taurocholenate sulfate*	0.073131974	2.22E-16
P::taurochenodeoxycholate	P::taurocholenate sulfate*	0.054089448	8.08E-10
P::taurocholate	P::taurocholenate sulfate*	0.058952228	2.13E-11
P::glycolithocholate sulfate*	P::taurolithocholate 3-sulfate	0.101893883	2.22E-16
P::taurocholenate sulfate*	P::taurolithocholate 3-sulfate	0.066719387	3.44E-14
P::dodecanedioate	P::tetradecanedioate	0.066193604	5.44E-14
P::hexadecanedioate	P::tetradecanedioate	0.092235317	2.22E-16
P::7-methylxanthine	P::theobromine	0.06155157	2.70E-12
P::1,3,7-trimethylurate	P::theophylline	0.060327895	7.23E-12
P::1,7-dimethylurate	P::theophylline	0.068325508	8.22E-15
P::caffeine	P::theophylline	0.071623621	4.44E-16
P::paraxanthine	P::theophylline	0.069273673	3.55E-15
P::erythrulose	P::threonate	0.100354644	2.22E-16
P::glycerate	P::threonate	0.109757102	2.22E-16
P::glutamine	P::threonine	0.074441476	2.22E-16
P::methionine	P::threonine	0.062375023	1.38E-12
P::pro-hydroxy-pro	P::trans-4-hydroxyproline	0.066034906	6.26E-14
P::3-(4-hydroxyphenyl)lactate	P::tyrosine	0.055610564	2.68E-10
P::gamma-glutamyltyrosine	P::tyrosine	0.097725307	2.22E-16
P::methionine	P::tyrosine	0.058391004	3.30E-11
P::5-oxoproline	P::urate	0.049214377	2.28E-08
P::gamma-glutamylleucine	P::valine	0.05321937	1.50E-09
P::gamma-glutamylvaline	P::valine	0.057585918	6.11E-11
P::isoleucine	P::valine	0.071736595	4.44E-16
P::leucine	P::valine	0.086710713	2.22E-16
P::hypoxanthine	P::xanthine	0.050032793	1.33E-08
P::arabitol	P::xylitol	0.055121837	3.83E-10
P::cysteine	P::xylonate	0.058731089	2.53E-11
